Especie	Nombre_comun	HabitatVerbatim	CosteTotalUSD_2017_tipo_cambio	CosteAnualUSD_2017_tipo_cambio	Impacted_sector	Type_of_cost	Type_of_cost_merged	Management_type	Reference_title	Authors	Abstract
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	1401040.08	1401040.08	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	707765.40	707765.40	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	676095.01	676095.01	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	197845.24	197845.24	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	90721.73	90721.73	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	679014.10	679014.10	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	121386.72	121386.72	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	224807.91	224807.91	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	1048396.68	1048396.68	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	855989.08	855989.08	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	506499.97	506499.97	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	421629.34	421629.34	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	412004.77	412004.77	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	306570.24	306570.24	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	291735.72	291735.72	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	133302.34	133302.34	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland	97767.66	97767.66	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Personal records, Ben Hoffmann	Ben Hoffmann	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	296254.37	296254.37	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	457109.90	457109.90	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	532003.47	532003.47	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	388473.15	388473.15	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	2237903.16	2237903.16	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	3104943.42	3104943.42	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	2917357.15	2917357.15	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	3999070.15	3999070.15	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	3910706.24	3910706.24	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Bushland and farmland and residential	4298144.33	4298144.33	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Lucy Karger, Wet Tropics Management Authority	
Anoplolepis gracilipes	Hormiga loca amarilla	Residential area	336960.74	168480.37	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Scott Charlton, Director Invasive Species Biosecurity, New South Wales Department of Primary Industries	
Anoplolepis gracilipes	Hormiga loca amarilla	Residential area	212579.05	212579.05	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Melissa Green, Townsville City Council	
Anoplolepis gracilipes	Hormiga loca amarilla	Residential area	91971.07	91971.07	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Melissa Green, Townsville City Council	
Anoplolepis gracilipes	Hormiga loca amarilla	Residential area	72933.93	72933.93	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Melissa Green, Townsville City Council	
Anoplolepis gracilipes	Hormiga loca amarilla	Residential area	80227.32	20056.83	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Melissa Green, Townsville City Council	
Anoplolepis gracilipes	Hormiga loca amarilla	Residential area	66651.17	66651.17	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Melissa Green, Townsville City Council	
Anoplolepis gracilipes	Hormiga loca amarilla	Residential area	65178.44	65178.44	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Melissa Green, Townsville City Council	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	618263.57	618263.57	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	599343.25	599343.25	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	587192.26	587192.26	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	578715.05	578715.05	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	569476.87	569476.87	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	568802.11	568802.11	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	561715.61	561715.61	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	550000.00	550000.00	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	536886.11	536886.11	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	527329.79	527329.79	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla	Atoll containing an abandoned airforce base from WWII	520904.00	520904.00	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Marnie Meuser, Pacific Marine National Monuments 	
Anoplolepis gracilipes	Hormiga loca amarilla		245032.31	245032.31	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		304101.14	304101.14	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		516640.62	516640.62	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		1479144.42	1479144.42	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		1219729.06	1219729.06	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		866074.22	866074.22	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		1650292.70	1650292.70	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		841938.42	841938.42	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		836250.62	836250.62	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		166558.72	166558.72	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		144219.84	144219.84	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		177971.91	177971.91	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		54574.64	54574.64	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		741844.68	741844.68	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Tricia Ho, Island Parks, Christmas Island National Park, Parks Australia, Department of Agriculture, the Environment and Energy	
Anoplolepis gracilipes	Hormiga loca amarilla		41266.95	13755.65	Authorities-Stakeholders	Management (Unspecified)	Management	Unspecified	Mise en place d’une stratégie relative aux espèces exotiques envahissantes en Nouvelle-Calédonie. ETAT DES LIEUX BIBLIOGRAPHIQUE	Dionisio C	"L’objectif de cette présente étude est d’acquérir une vision globale et contextualisée de la problématique «espèces exotiques envahissantes (EEE)» en Nouvelle-Calédonie, sur la base de connaissances des travaux/actions réalisées à ce jour, et des acteurs impliqués et à impliquer.
Dans le cadre des présents travaux menés, les invasions biologiques animales et végétales, terrestres, dulçaquicoles et marines seront ciblées. Les espèces exotiques envahissantes ayant un impact uniquement sur les milieux agricoles et urbanisés sont exclues de cette étude. La révision bibliographique qui suit porte majoritairement sur des travaux bibliographiques récents (moins de dix ans) et présente un état des lieux des connaissances sur la problématique EEE en Nouvelle-Calédonie."
Anoplolepis gracilipes	Hormiga loca amarilla	forest	3244915.73	540819.29	Authorities-Stakeholders	Control	Management	Post-invasion_management	Hormiga loca amarilla Anoplolepis gracilipes	Csurhes & Hankamer 2016, Department of Agriculture and Fisheries, Biosecurity Queensland, Queensland Governement 	The Hormiga loca amarilla has been included among 100 examples of the world’s worst invasive species by the International Union for Conservation of Nature. It has naturalised in numerous places, especially tropical islands, across the world. On Christmas Island, Hormiga loca amarillas are decimating the island’s iconic red land crabs. A significant population also exists in the Northern Territory. Hormiga loca amarillas were first detected in 2001 in Cairns. Since then, more than 20 additional sites have been found, in and around Cairns, Townsville, Hervey Bay, Caboolture and Brisbane. The total area of infestation involves at least 320 hectares. Populations at some of these sites have been eliminated, whereas others are subject to ongoing control.
Anoplolepis gracilipes	Hormiga loca amarilla	mature coco de mer palm forest	107239.70	53619.85	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by David Renault for the InvaCost project	Nancy Burnury	
Anoplolepis gracilipes	Hormiga loca amarilla	mature coco de mer palm forest	73778.98	73778.98	Authorities-Stakeholders	Control	Management	Post-invasion_management	Response by email to the request for information by David Renault for the InvaCost project	Nancy Burnury	
Lasius neglectus	Hormiga invasiva de jardín	city of Leiden	23904.16	956.17	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Risicoanalyse van de plaagmier Lasius neglectus 	van Loon	
Lasius neglectus	Hormiga invasiva de jardín	Residential area	22549.69	11274.85	Authorities-Stakeholders	Control	Management	Post-invasion_management	Risicoanalyse van de plaagmier Lasius neglectus 	van Loon	
Lasius neglectus	Hormiga invasiva de jardín	City of Leiden	1593.61	1593.61	Public and social welfare	Control	Management	Post-invasion_management	Risicoanalyse van de plaagmier Lasius neglectus 	van Loon	
Lasius neglectus	Hormiga invasiva de jardín	City of Leiden	1593.61	796.81	Public and social welfare	Control	Management	Post-invasion_management	Risicoanalyse van de plaagmier Lasius neglectus 	van Loon	
Lepisiota frauenfeldi	Hormiga exploradora		850732.42	283577.47	Agriculture/Environment/Health/Public and social welfare	Control/Prevention	Management	Mixed	Priorities for Australia's biosecurity system	Wendy Craik; David Palmer,;Richard Sheldrake	
Lepisiota frauenfeldi	Hormiga exploradora		107299.58	35766.53	Agriculture/Environment/Health/Public and social welfare	Control/Prevention	Management	Mixed	Priorities for Australia's biosecurity system	Wendy Craik; David Palmer,;Richard Sheldrake	
Lepisiota frauenfeldi	Hormiga exploradora	Industrial area	1367988.79	455996.26	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	National Hormiga exploradora Eradication Program (Northern Territory) Response Plan Version 2.2 1 December 2017	Northern Territory Department of Primary Industries and Resources	
Lepisiota frauenfeldi	Hormiga exploradora	Industrial area	2749826.64	687456.66	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	National Hormiga exploradora Eradication Program (Northern Territory) Response Plan Version 2.2 1 December 2017	Northern Territory Department of Primary Industries and Resources	The revised response plan to achieve eradication and proof of freedom by September 2021, is estimated to cost $5.3 million over four years with $4.68 million being recommended for cost sharing under the NEBRA.
Lepisiota frauenfeldi	Hormiga exploradora	Industrial area	52406.07	52406.07	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Lepisiota frauenfeldi (Hormiga exploradora) Response Plan Western Australia, Version 2.3 May 2019; and email of costings with Marc Widmer	Marc Widmer/Western Australian Department of Primary Industries and Regional Development	The revised response plan to conduct delimiting surveillance at additional ‘at risk’ sites, eradication of infestations and proof of freedom by December 2021 is estimated to cost $3,278,650 over three years with $2,866,657 recommended for cost sharing under the National Environmental Biosecurity Response Agreement (NEBRA).
Lepisiota frauenfeldi	Hormiga exploradora	Industrial area	24278.80	24278.80	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Lepisiota frauenfeldi (Hormiga exploradora) Response Plan Western Australia, Version 2.3 May 2019; and email of costings with Marc Widmer	Marc Widmer/Western Australian Department of Primary Industries and Regional Development	The revised response plan to conduct delimiting surveillance at additional ‘at risk’ sites, eradication of infestations and proof of freedom by December 2021 is estimated to cost $3,278,650 over three years with $2,866,657 recommended for cost sharing under the National Environmental Biosecurity Response Agreement (NEBRA).
Lepisiota frauenfeldi	Hormiga exploradora	Industrial area	50752.49	50752.49	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Lepisiota frauenfeldi (Hormiga exploradora) Response Plan Western Australia, Version 2.3 May 2019; and email of costings with Marc Widmer	Marc Widmer/Western Australian Department of Primary Industries and Regional Development	The revised response plan to conduct delimiting surveillance at additional ‘at risk’ sites, eradication of infestations and proof of freedom by December 2021 is estimated to cost $3,278,650 over three years with $2,866,657 recommended for cost sharing under the National Environmental Biosecurity Response Agreement (NEBRA).
Lepisiota frauenfeldi	Hormiga exploradora	Industrial area	24917.26	24917.26	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Lepisiota frauenfeldi (Hormiga exploradora) Response Plan Western Australia, Version 2.3 May 2019; and email of costings with Marc Widmer	Marc Widmer/Western Australian Department of Primary Industries and Regional Development	The revised response plan to conduct delimiting surveillance at additional ‘at risk’ sites, eradication of infestations and proof of freedom by December 2021 is estimated to cost $3,278,650 over three years with $2,866,657 recommended for cost sharing under the National Environmental Biosecurity Response Agreement (NEBRA).
Lepisiota frauenfeldi	Hormiga exploradora	Industrial area	11337.58	11337.58	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Lepisiota frauenfeldi (Hormiga exploradora) Response Plan Western Australia, Version 2.3 May 2019; and email of costings with Marc Widmer	Marc Widmer/Western Australian Department of Primary Industries and Regional Development	The revised response plan to conduct delimiting surveillance at additional ‘at risk’ sites, eradication of infestations and proof of freedom by December 2021 is estimated to cost $3,278,650 over three years with $2,866,657 recommended for cost sharing under the National Environmental Biosecurity Response Agreement (NEBRA).
Lepisiota frauenfeldi	Hormiga exploradora	Industrial area	2185258.56	2185258.56	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Lepisiota frauenfeldi (Hormiga exploradora) Response Plan Western Australia, Version 2.3 May 2019; and email of costings with Marc Widmer	Marc Widmer/Western Australian Department of Primary Industries and Regional Development	The revised response plan to conduct delimiting surveillance at additional ‘at risk’ sites, eradication of infestations and proof of freedom by December 2021 is estimated to cost $3,278,650 over three years with $2,866,657 recommended for cost sharing under the National Environmental Biosecurity Response Agreement (NEBRA).
Lepisiota frauenfeldi	Hormiga exploradora	Airport	70931.82	70931.82	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Ross Miller, University of Guam	
Lepisiota frauenfeldi	Hormiga exploradora	Airport	68309.36	68309.36	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	Response by email to the request for information by Ben Hoffmann for the InvaCost project	Ross Miller, University of Guam	
Linepithema humile	Hormiga argentina	residential-agricultural area	37550.28	37550.28	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	特定外来生物防除等推進事業	JUDGIT!	"特定外来生物防除等推進事業
その他
府省庁: 環境省

事業番号: 0230

担当部局: 自然環境局 野生生物課外来生物対策室

事業期間: 2020年〜終了予定なし

会計区分: 一般会計

実施方法: 委託・請負

事業の目的
優先度の高い特定外来生物等の防除事業の実施することにより、生態系を保全する。

事業概要
生態系等への被害を防止するため、希少種の生息・生育地や国立公園など、我が国の生物多様性保全上特に重要な地域において定着が確認された特定外来生物、さらに、我が国で新たに定着が確認された、も??趈ጶ????蚠???????????¦???????§?????????????????????????????줠ጽ??
耀????????????????????????????????????????????????????????????????????????????????????????????????????????????嘨??????wꁂ&?"
Linepithema humile	Hormiga argentina	residential-agricultural area	25631.64	25631.64	Authorities-Stakeholders	Eradication	Management	Post-invasion_management	特定外来生物防除等推進事業	JUDGIT!	"特定外来生物防除等推進事業
その他
府省庁: 環境省

事業番号: 0230

担当部局: 自然環境局 野生生物課外来生物対策室

事業期間: 2020年〜終了予定なし

会計区分: 一般会計

実施方法: 委託・請負

事業の目的
優先度の高い特定外来生物等の防除事業の実施することにより、生態系を保全する。

事業概要
生態系等への被害を防止するため、希少種の生息・生育地や国立公園など、我が国の生物多様性保全上特に重要な地域において定着が確認された特定外来生物、さらに、我が国で新たに定着が確認された、も??趈ጶ????蚠???????????¦???????§?????????????????????????????줠ጽ??
耀????????????????????????????????????????????????????????????????????????????????????????????????????????????嘨??????wꁂ&?"
